wind da,wind id,wind me,solar da ,solar id,solar me
51.25737622,41.44700848,33.88714389,0,0,0
52.01649146,47.85503537,33.91911564,0,0,0
52.41656571,47.92000469,31.12594767,0,0,0
51.56854508,46.25131893,31.35265641,0,0,0
50.99749893,43.04388604,31.83513912,0,0,0
50.38200008,44.5142444,33.4453525,0,0,0
46.73004025,34.21489703,30.45454101,1.315074902,1.383585793,0.165428736
42.02489351,35.19627574,24.50779632,8.129402034,8.594774791,3.532488366
39.76122553,33.84901716,26.3011206,14.4825339,13.17581398,8.389242119
40.98538434,33.85243659,27.65846653,18.85219193,17.77272765,9.815438344
45.40329829,38.97133534,32.93961761,19.58492426,19.24069881,9.255654237
50.36832233,42.03173239,29.39366036,16.4894017,10.71276391,7.255470428
56.08220329,43.16698581,29.78604088,10.39360342,8.266423815,3.854155353
62.6543632,47.05488687,34.18070265,3.302726232,2.133028098,0.579000576
67.60229005,53.99976552,33.14307417,0,0,0
69.29149244,53.13806714,34.28533745,0,0,0
69.15813435,50.29993357,34.33765485,0,0,0
68.08101137,46.87707609,32.38447184,0,0,0
66.21741764,43.66622377,31.5328608,0,0,0
64.21362695,43.42002423,30.32374751,0,0,0
63.85116652,41.31023096,32.2100805,0,0,0
58.195416,43.129372,27.11494685,0,0,0
57.77482512,44.11417015,26.53073586,0,0,0
57.31662042,37.40865216,27.14401208,0,0,0
57.53204502,35.36040877,25.15304428,0,0,0
56.48227754,44.29198093,26.62083806,0,0,0
54.24254563,46.77791238,25.09782035,0,0,0
53.5210442,45.35542616,22.27558717,0,0,0
54.222029,42.8694947,25.41172476,0,0,0
54.3211927,36.66321466,26.49876412,0,0,0
52.44734065,33.37713471,24.9088964,1.501391105,1.513923585,0.337541462
47.07540349,34.23541365,23.40041131,10.28749509,9.728546483,7.283877382
39.42270116,27.88551721,15.97134022,20.16476034,17.23550201,12.67785678
33.51049279,22.44861073,12.88170698,26.28896557,23.77912757,18.66504023
29.46187815,15.94483958,10.46929345,24.3882061,25.23540175,23.32712279
26.4185783,13.65723553,8.216738638,18.31078879,19.28832224,20.4989598
24.25065458,13.25374184,8.062692954,10.79714928,13.50165846,15.21192424
23.11882059,14.39241471,5.196861933,3.37290812,4.274411182,5.399827887
21.4296182,11.11317363,6.469918715,0,0,0.000835499
17.32629255,7.608249639,3.804637735,0,0,0
14.08124585,8.979444292,2.040378678,0,0,0
12.55959592,8.917894408,1.694502521,0,0,0
12.91863691,8.336589941,1.770072101,0,0,0
18.40341553,7.837351987,4.397568291,0,0,0
28.6035992,11.32517879,5.298590215,0,0,0
16.61846887,16.55691899,7.69647114,0,0,0
22.67429364,18.97104224,12.01846985,0,0,0
27.82738677,22.96494588,18.84298429,0,0,0
32.26923678,24.26433233,22.54298722,0,0,0
36.48540388,29.31142288,20.95893255,0,0,0
39.4261206,29.5473641,23.83057661,0,0,0
41.95992419,32.56672789,23.12429169,0,0,0
43.43712142,36.38282074,25.81573137,0,0,0
42.84897808,33.64385087,22.90920904,0,0,0
40.5135019,33.0351909,22.2668676,1.067767297,1.239044524,1.773763671
37.11116105,33.8353394,20.16254543,6.8335436,7.958960305,15.16012332
34.15334714,30.68945641,18.75869514,13.98958969,18.75861608,32.69807585
32.95996327,29.18490367,17.64840361,19.00174619,24.18100243,42.03477345
34.88168744,31.45882997,22.52554809,17.47863212,21.26761858,46.08777749
37.44284654,34.050764,29.37040818,13.50416496,28.12622714,31.80910526
38.36609481,41.93256868,32.99774806,8.306527751,16.08752684,17.8061476
40.25704404,52.91580367,32.62280667,2.742106626,6.400755291,5.100719364
44.84251045,54.57423111,29.69884521,0,0,0.005012992
48.89112509,50.79575208,30.23364532,0,0,0
50.66581344,53.70569385,33.43372641,0,0,0
51.1035015,56.9644183,36.32571613,0,0,0
53.19619758,53.96899058,37.88651862,0,0,0
61.67298449,60.81812498,45.19642229,0,0,0
71.55857986,68.17675564,53.48582399,0,0,0
76.75270624,75.58667787,61.81010395,0,0,0
86.15958029,80.35679393,66.25708312,0,0,0
91.66145609,84.90122709,68.21317265,0,0,0
93.41904725,85.40730392,72.20092129,0,0,0
92.21882449,88.38221501,74.21514127,0,0,0
89.74657079,85.80737817,71.12260151,0,0,0
88.19756536,87.44528899,63.93186525,0,0,0
86.727207,84.97987416,61.52526476,0,0,0
84.67212474,74.01373637,54.16595021,0,0,0
80.49357146,58.82801204,48.01574895,1.566560001,1.469642156,1.295858433
74.34200242,52.85767322,44.19367209,8.82119493,8.486995463,12.65947581
67.52364297,47.32160303,34.27661788,15.96888603,18.72185414,27.34587138
61.41994607,41.45042792,27.32130994,25.09921547,23.29453835,41.19927479
55.56928758,30.6347454,20.47935636,23.94372081,19.73447852,44.42262865
49.01080542,24.22329907,14.60527473,20.54908972,29.14302902,26.70337291
43.09175818,20.18494275,16.01493806,13.12651956,18.54974141,13.1632815
38.36951424,21.68949549,16.72122299,4.50166682,4.744796932,3.926008238
34.96033452,20.19520106,12.8322961,0,0,0.020051968
31.55799367,17.59984759,10.77738481,0,0,0
27.64615655,14.01627653,9.954838993,0,0,0
23.49837821,10.37115557,8.056879909,0,0,0
19.2548556,6.021630388,5.55436418,0,0,0
16.24233069,8.363945445,3.040222361,0,0,0
13.30503341,6.411446325,2.296152644,0,0,0
7.809996483,3.997323069,2.249648286,0,0,0
7.355211224,3.569893314,2.188611317,0,0,0
6.814940013,3.696412521,3.525611591,0,0,0
6.390929696,4.763277189,3.551770292,0,0,0
6.103696901,6.68158193,2.772822306,0,0,0
7.078236742,5.231740201,2.735037516,0,0,0
8.254523428,5.659169956,3.104165853,0,0,0
7.895482434,5.946402751,4.551613975,0,0,0
7.170561569,6.113955215,9.565365001,0,0,0
6.866231584,7.177400446,7.487201532,3.143981485,3.162362456,3.08466108
7.146625503,8.890538903,7.190736254,21.28432855,22.28358496,22.70300529
8.384462074,7.078236742,6.269368674,39.95688827,32.83593313,54.86970398
9.362421353,6.534546094,3.641872484,52.23287019,41.53013226,80.97736634
9.543651569,5.170190316,4.461511782,55.21476493,43.56624251,87.49342045
