rival1_sea0_v0,rival1_sea1_v0,rival1_sea1_v1,rival1_sea2_v0,rival1_sea2_v1,rival1_sea3_v0,rival1_sea3_v1,rival2_sea0_v0,rival2_sea1_v0,rival2_sea2_v0,rival2_sea2_v1,rival2_sea3_v0,rival3_sea0_v0,rival3_sea1_v0,rival3_sea1_v0,rival3_sea2_v0,rival3_sea2_v1,rival3_sea3_v0,rival3_sea3_v1,rival4_sea0_v0,rival4_sea1_v0,rival4_sea1_v1,rival4_sea2_v0,rival4_sea2_v1,rival4_sea3_v0,rival5_sea0_v0,rival5_sea1_v0,rival5_sea1_v1,rival5_sea2_v0,rival5_sea2_v1,rival5_sea3_v0,rival5_sea3_v1
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.61086957,20.89141304,17.61746032,28.8725,24.65571429,15.22108696,17.13217391,17.13217391,18.76635135,28.23058824,17.55590164,24.78833333,17.2,17.9722807,13.35828571,19.26022727,215,20.2678022,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,15.02630435,16.68445652,16.68445652,18.57851351,28.22,17.00278689,24.69133333,17.17543478,18.0677193,13.75428571,19.29238636,215,20.28197802,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.87043478,16.29771739,16.29771739,18.45283784,28.05882353,16.69180328,24.73466667,17.20173913,18.06824561,14.10228571,19.35670455,215,20.28197802,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.74369565,16.21771739,16.21771739,18.36810811,28.11235294,16.50786885,24.48033333,17.1901087,18.06877193,14.10514286,19.37,215,20.2656044,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.64434783,16.16673913,16.16673913,18.32540541,27.85294118,16.44606557,24.32,17.16380435,18.06894737,14.10742857,19.35818182,215,20.23098901,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.51706522,16.1298913,16.1298913,18.31716216,27.66235294,16.40065574,24.32,17.08184783,18.06894737,14.06742857,19.22522727,215,20.00450549,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.49065217,16.1098913,16.1098913,18.25824324,27.25882353,16.38016393,24.30033333,16.67054348,18.06859649,13.94542857,18.96738636,24.73333333,19.45901099,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.31815217,16.105,16.105,17.79864865,27.20294118,16.38016393,22.91333333,16.49402174,17.86192982,13.68171429,18.83102273,22.26,19.07824176,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.25902174,16.07065217,16.07065217,17.79864865,27.01,16.38016393,22.91333333,16.40043478,17.8077193,13.44542857,18.78568182,24.73333333,18.99318681,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
13.60228261,14.739125,28.34583333,10.37824561,17.38735294,17.21368421,28.19533333,22.62065217,20.89141304,17.61746032,28.8725,24.65571429,14.23554348,16.06652174,16.06652174,17.69797297,26.94058824,16.38016393,22.663,16.36956522,17.60719298,13.06742857,18.82363636,23.97333333,18.99505495,21.42152174,29.80320513,37.22214286,25.57478873,37.755,27.1161194,47.32791667
